epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.82177,2.10931,3.95624,1.77795,0.0025,0.75,0.00243,0.00108,1.46966,3.89643,1.81414,4e-05,4e-05,4e-05
2,13.0873,1.42643,3.63342,1.35323,0.00333,1,0.00442,0.00211,1.47453,4.41603,1.83451,9.901e-05,9.901e-05,9.901e-05
3,18.7229,1.19771,3.03005,1.16971,0.00333,1,0.02041,0.00482,2.67079,4.32423,2.08702,0.000156832,0.000156832,0.000156832
4,24.305,0.96854,2.61066,1.01276,0.00333,1,0.70333,0.43823,1.58534,3.35395,1.22645,0.000213466,0.000213466,0.000213466
5,29.9977,0.96919,2.61073,1.00981,0.00333,1,0.995,0.59465,1.20705,3.05746,1.02397,0.000268912,0.000268912,0.000268912
6,36.23,0.86342,1.69416,0.93016,0.00333,1,0.995,0.86428,0.76644,2.79629,0.92036,0.00032317,0.00032317,0.00032317
7,42.3174,0.84206,1.53015,1.02308,0.00333,1,0.67357,0.56339,0.8498,2.91693,1.01979,0.00037624,0.00037624,0.00037624
8,48.0093,0.69305,1.35032,0.87621,0.00333,1,0.28318,0.20049,1.30154,3.22249,1.25948,0.000428122,0.000428122,0.000428122
9,53.5806,0.74418,1.4004,0.99814,0.00333,1,0.17592,0.11984,1.45224,3.24282,1.2655,0.000478816,0.000478816,0.000478816
10,59.3238,0.70276,1.23261,0.91652,0.00333,1,0.57833,0.39338,1.21808,3.2668,1.17612,0.000528322,0.000528322,0.000528322
11,65.5908,0.81978,1.30951,0.95477,0.00333,1,0.995,0.76478,1.06236,2.75128,0.98227,0.00057664,0.00057664,0.00057664
12,72.0431,0.75595,1.38125,0.9588,0.00333,1,0.995,0.77103,0.96616,2.5301,0.92629,0.00062377,0.00062377,0.00062377
13,77.959,0.69607,1.37578,0.92365,0.9355,1,0.995,0.79556,0.88128,2.22594,0.90785,0.000669712,0.000669712,0.000669712
14,84.1265,0.74795,1.31982,0.89167,0.89032,1,0.995,0.83721,0.66679,2.24236,0.87751,0.000714466,0.000714466,0.000714466
15,90.0862,0.76186,1.57529,0.95543,0.89032,1,0.995,0.83721,0.66679,2.24236,0.87751,0.000758032,0.000758032,0.000758032
16,96.055,0.83425,1.35178,0.98289,0.94646,1,0.995,0.6965,1.05165,2.36634,1.03889,0.00080041,0.00080041,0.00080041
17,102.033,0.75149,1.21328,0.9204,0.94757,1,0.995,0.55186,1.12178,2.58053,1.11762,0.0008416,0.0008416,0.0008416
18,108.242,0.78569,1.11823,0.92543,0.94757,1,0.995,0.55186,1.12178,2.58053,1.11762,0.000881602,0.000881602,0.000881602
19,114.251,0.70757,1.31774,0.96395,0.93007,1,0.995,0.73936,0.71602,2.02312,0.87846,0.000920416,0.000920416,0.000920416
20,119.916,0.64527,1.10975,0.87714,0.76625,1,0.995,0.80828,0.84584,2.28074,0.91966,0.000958042,0.000958042,0.000958042
21,125.652,0.82643,1.16948,0.91142,0.76625,1,0.995,0.80828,0.84584,2.28074,0.91966,0.00099448,0.00099448,0.00099448
22,132.004,0.82763,1.23118,0.89587,0.95612,1,0.995,0.78331,0.94207,1.91741,0.90274,0.00102973,0.00102973,0.00102973
23,138.045,0.71522,1.19863,0.88269,0.95612,1,0.995,0.78331,0.94207,1.91741,0.90274,0.00106379,0.00106379,0.00106379
24,143.784,0.82891,1.30043,0.95607,0.98313,1,0.995,0.86623,0.58409,1.38207,0.85123,0.00109667,0.00109667,0.00109667
25,149.607,0.67971,1.09422,0.85636,0.98313,1,0.995,0.86623,0.58409,1.38207,0.85123,0.00112835,0.00112835,0.00112835
26,155.746,0.68996,1.07128,0.9131,0.98823,1,0.995,0.8955,0.53164,1.27338,0.864,0.00115885,0.00115885,0.00115885
27,161.773,0.60832,1.0113,0.87831,0.98823,1,0.995,0.8955,0.53164,1.27338,0.864,0.00118816,0.00118816,0.00118816
28,167.866,0.61442,0.97632,0.88326,0.98757,1,0.995,0.8955,0.56612,1.34313,0.87082,0.00121628,0.00121628,0.00121628
29,173.871,0.68695,1.09027,0.92156,0.98757,1,0.995,0.8955,0.56612,1.34313,0.87082,0.00124322,0.00124322,0.00124322
30,179.716,0.64768,1.10699,0.93348,0.98757,1,0.995,0.8955,0.56612,1.34313,0.87082,0.00126896,0.00126896,0.00126896
31,185.951,0.64698,1.17218,0.90929,0.98833,1,0.995,0.8955,0.49551,1.18446,0.84451,0.00129352,0.00129352,0.00129352
32,192.003,0.59153,1.01185,0.81843,0.98833,1,0.995,0.8955,0.49551,1.18446,0.84451,0.00131689,0.00131689,0.00131689
33,197.948,0.57734,1.04371,0.87403,0.98915,1,0.995,0.85191,0.62282,1.12451,0.85351,0.00133907,0.00133907,0.00133907
34,203.71,0.54263,0.92041,0.8448,0.98915,1,0.995,0.85191,0.62282,1.12451,0.85351,0.0013466,0.0013466,0.0013466
35,209.54,0.69132,1.04513,0.94039,0.98915,1,0.995,0.85191,0.62282,1.12451,0.85351,0.0013268,0.0013268,0.0013268
36,215.848,0.55983,0.99,0.87337,0.98931,1,0.995,0.85191,0.74946,1.13203,0.88405,0.001307,0.001307,0.001307
37,222.068,0.60959,1.06141,0.87983,0.98931,1,0.995,0.85191,0.74946,1.13203,0.88405,0.0012872,0.0012872,0.0012872
38,228.207,0.63065,1.02838,0.8733,0.98931,1,0.995,0.85191,0.74946,1.13203,0.88405,0.0012674,0.0012674,0.0012674
39,234.346,0.70838,1.15458,0.88856,0.98924,1,0.995,0.8955,0.55307,1.03836,0.86641,0.0012476,0.0012476,0.0012476
40,240.457,0.5707,1.10693,0.87313,0.98924,1,0.995,0.8955,0.55307,1.03836,0.86641,0.0012278,0.0012278,0.0012278
41,246.649,0.59906,0.98011,0.87577,0.98907,1,0.995,0.87053,0.53588,1.00909,0.85797,0.001208,0.001208,0.001208
42,252.817,0.67422,1.02923,0.89045,0.98907,1,0.995,0.87053,0.53588,1.00909,0.85797,0.0011882,0.0011882,0.0011882
43,258.913,0.5857,1.04367,0.86361,0.98907,1,0.995,0.87053,0.53588,1.00909,0.85797,0.0011684,0.0011684,0.0011684
44,264.876,0.62522,1.04044,0.907,0.98843,1,0.995,0.85191,0.58525,1.02921,0.85297,0.0011486,0.0011486,0.0011486
45,270.688,0.54287,1.0004,0.85309,0.98843,1,0.995,0.85191,0.58525,1.02921,0.85297,0.0011288,0.0011288,0.0011288
46,276.562,0.53466,0.9762,0.82203,0.98843,1,0.995,0.85191,0.58525,1.02921,0.85297,0.001109,0.001109,0.001109
47,282.55,0.57913,1.01978,0.90855,0.98824,1,0.995,0.83304,0.5439,0.95678,0.84515,0.0010892,0.0010892,0.0010892
