epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1304,2.13195,4.82902,1.84109,0.00111,0.33333,0.00139,0.00083,1.96318,4.99629,1.97531,0.000652482,0.000652482,0.000652482
2,24.9321,1.57117,3.79181,1.41536,0.45441,0.55528,0.55369,0.24714,1.78375,4.21878,1.40339,0.00126691,0.00126691,0.00126691
3,35.8749,1.67503,4.48118,1.4372,0.45441,0.55528,0.55369,0.24714,1.78375,4.21878,1.40339,0.00182854,0.00182854,0.00182854
4,46.8276,1.55636,4.26859,1.37202,0,0,0,0,3.68904,6.41286,2.8293,0.0017624,0.0017624,0.0017624
5,59.1581,1.69697,4.0975,1.49447,0.60308,0.51009,0.52406,0.20779,1.73538,3.30482,1.58237,0.0016832,0.0016832,0.0016832
6,72.1589,1.5406,3.58569,1.41156,0.60308,0.51009,0.52406,0.20779,1.73538,3.30482,1.58237,0.001604,0.001604,0.001604
7,84.583,1.40231,3.0279,1.41343,0.9842,0.66667,0.79413,0.49741,1.31818,2.57047,1.30674,0.0015248,0.0015248,0.0015248
8,98.5513,1.4185,3.12241,1.33089,0.93889,1,0.995,0.57728,1.38321,2.30885,1.2887,0.0014456,0.0014456,0.0014456
9,110.422,1.44767,2.76547,1.41447,0.93515,1,0.995,0.61956,1.31579,1.7701,1.21556,0.0013664,0.0013664,0.0013664
10,122.125,1.1809,2.95296,1.17306,0.93515,1,0.995,0.61956,1.31579,1.7701,1.21556,0.0012872,0.0012872,0.0012872
11,133.792,1.17373,2.42955,1.18712,0.94296,1,0.995,0.69295,1.19453,1.80648,1.14698,0.001208,0.001208,0.001208
12,145.206,1.06777,2.45697,1.10124,0.98335,0.88889,0.975,0.65395,1.12377,1.87381,1.11909,0.0011288,0.0011288,0.0011288
13,156.908,1.12633,2.41184,1.16369,0.99129,1,0.995,0.72243,1.04094,1.68745,1.11825,0.0010496,0.0010496,0.0010496
14,168.476,1.20489,2.42157,1.19775,0.99129,1,0.995,0.72243,1.04094,1.68745,1.11825,0.0009704,0.0009704,0.0009704
15,182.851,1.09247,2.3599,1.10692,0.97152,1,0.995,0.77272,1.00859,2.08007,1.11456,0.0008912,0.0008912,0.0008912
16,195.653,1.17872,1.99114,1.33687,0.98317,1,0.995,0.70494,1.14961,1.9005,1.05485,0.000812,0.000812,0.000812
17,207.782,1.23473,2.24006,1.24534,0.99997,1,0.995,0.63791,1.28492,1.93159,1.10029,0.0007328,0.0007328,0.0007328
18,219.706,1.06221,1.82129,1.19245,0.99997,1,0.995,0.63791,1.28492,1.93159,1.10029,0.0006536,0.0006536,0.0006536
19,231.533,0.99858,1.79464,1.093,1,0.99762,0.995,0.7503,1.09709,1.95698,1.02366,0.0005744,0.0005744,0.0005744
20,244.627,1.02213,1.75453,1.12215,1,0.96215,0.995,0.78532,0.89453,2.11594,0.97576,0.0004952,0.0004952,0.0004952
21,257.928,0.96748,1.80057,1.14029,1,0.96215,0.995,0.78532,0.89453,2.11594,0.97576,0.000416,0.000416,0.000416
22,271.812,0.98919,1.80445,1.10623,0.99655,1,0.995,0.79494,0.90632,1.94061,0.96006,0.0003368,0.0003368,0.0003368
23,285.87,0.9238,1.80136,1.0378,1,0.99413,0.995,0.77838,0.92223,1.79028,0.9536,0.0002576,0.0002576,0.0002576
24,299.364,0.94996,1.85087,1.07352,0.99748,1,0.995,0.76152,0.88837,1.69132,0.93647,0.0001784,0.0001784,0.0001784
25,312.779,0.93468,1.71011,1.07884,0.99748,1,0.995,0.76152,0.88837,1.69132,0.93647,9.92e-05,9.92e-05,9.92e-05
